source_id,start_pos,length,class_label,quality,values
4,12,11,0,-11.68695601853299,"[0.6560999751091003, 0.38460999727249146, 0.3219600021839142, 0.48903000354766846, 0.614329993724823, 1.3035000562667847, 1.2409000396728516, 1.073799967765808, 0.5516800284385681, 0.4263800084590912, -0.17925000190734863]"
4,7,7,0,-12.047920065904538,"[0.05046899989247322, 0.6352199912071228, 1.031999945640564, 0.8022900223731995, 0.823170006275177, 0.6560999751091003, 0.38460999727249146]"
5,1,9,0,-11.68695601853299,"[-0.2778100073337555, -0.7617300152778625, -0.8692700266838074, -1.138100028038025, -1.0843000411987305, -1.138100028038025, -0.6004199981689453, -1.0843000411987305, -0.2778100073337555]"
5,13,7,0,-12.047920065904538,"[0.09857700020074844, -0.2778100073337555, -0.38534998893737793, -0.6004199981689453, -0.5466499924659729, -0.49289000034332275, 0.3674199879169464]"
5,6,8,0,-12.335978517984882,"[-1.138100028038025, -0.6004199981689453, -1.0843000411987305, -0.2778100073337555, 0.3674199879169464, 0.47495999932289124, 0.5287299752235413, 0.09857700020074844]"
5,17,7,0,-12.533395363059737,"[-0.5466499924659729, -0.49289000034332275, 0.3674199879169464, 2.303100109100342, 2.0880000591278076, 1.7654000520706177, 1.1740000247955322]"
6,2,7,1,-11.68695601853299,"[-1.0870000123977661, -1.3933000564575195, -1.3933000564575195, -1.291200041770935, -1.750599980354309, -0.729610025882721, 0.3424699902534485]"
6,10,11,1,-11.68695601853299,"[1.8229999542236328, 1.7719000577926636, 1.1592999696731567, 0.8019300103187561, 0.18931999802589417, -0.014890000224113464, -0.06594099849462509, -0.06594099849462509, -0.014890000224113464, 0.08721300214529037, -0.32120001316070557]"
6,6,7,1,-12.101126963439633,"[-1.750599980354309, -0.729610025882721, 0.3424699902534485, 1.720900058746338, 1.8229999542236328, 1.7719000577926636, 1.1592999696731567]"
7,0,7,0,-11.68695601853299,"[-1.0990999937057495, -1.375599980354309, -1.5230000019073486, -1.5599000453948975, -1.5967999696731567, -1.430899977684021, -1.1359000205993652]"
7,12,7,0,-11.68695601853299,"[0.799530029296875, 0.430869996547699, 0.5598999857902527, 0.6336299777030945, 0.8363999724388123, 0.7810999751091003, 1.2051000595092773]"
7,4,8,0,-12.047920065904538,"[-1.5967999696731567, -1.430899977684021, -1.1359000205993652, -0.2327200025320053, 0.6520699858665466, 0.9470000267028809, 1.0023000240325928, 0.9101300239562988]"
7,16,7,0,-12.335978517984882,"[0.8363999724388123, 0.7810999751091003, 1.2051000595092773, 0.9838600158691406, 0.5967699885368347, 0.30184000730514526, -0.12212000042200089]"
8,0,7,0,-11.68695601853299,"[-1.149899959564209, -1.5492000579833984, -1.489300012588501, -1.569200038909912, -1.569200038909912, -1.4493999481201172, -1.090000033378601]"
8,14,8,0,-11.68695601853299,"[0.6073799729347229, 0.6273499727249146, 0.6872599720954895, 0.7271999716758728, 1.0666999816894531, 0.9668200016021729, 0.5874199867248535, 0.3677600026130676]"
8,4,7,0,-12.047920065904538,"[-1.569200038909912, -1.4493999481201172, -1.090000033378601, 0.08819600194692612, 0.347790002822876, 1.0666999816894531, 1.106600046157837]"
8,8,7,0,-12.237933518879123,"[0.347790002822876, 1.0666999816894531, 1.106600046157837, 1.0467000007629395, 0.6473199725151062, 0.5075399875640869, 0.6073799729347229]"
9,0,7,1,-11.68695601853299,"[-0.7562400102615356, -1.1884000301361084, -1.315500020980835, -1.4426000118255615, -1.4426000118255615, -1.2900999784469604, -1.5442999601364136]"
9,16,8,1,-11.68695601853299,"[1.0231000185012817, 0.7181100249290466, 0.3113900125026703, 0.489329993724823, -0.14616000652313232, -0.19699999690055847, 0.05719500035047531, -0.2478400021791458]"
9,11,9,1,-11.68695601853299,"[1.2518999576568604, 0.997730016708374, 0.8452100157737732, 0.896049976348877, 0.9723100066184998, 1.0231000185012817, 0.7181100249290466, 0.3113900125026703, 0.489329993724823]"
9,5,7,1,-12.335978517984882,"[-1.2900999784469604, -1.5442999601364136, -0.8833400011062622, 0.4130699932575226, 1.2010999917984009, 1.2773000001907349, 1.2518999576568604]"
